Ticket_id,Customer_Language,Agent_languages,Satisfaction,Resolution_Time,Category_Issue,Issue_Type,Region,Priority,Language_Match,Subject,Description
T001,fr,it;fr,4.2,65.6,Other,Other,Europe,1,True,Security Concern,Support ticket for security concern
T002,en,es;it,3.3,95.9,Employee Inquiries-IT Support,Software,Europe,1,False,Hardware Problem,Support ticket for hardware problem
T003,es,en;es;de,4.3,66.2,Employee Inquiries-IT Support,Software,Europe,1,True,Email Setup,Support ticket for email setup
T004,en,pt;fr;en,4.7,81.4,Employee Inquiries-IT Support,Software,Americas,1,True,Data Recovery,Support ticket for data recovery
T005,es,en;es,4.8,99.4,Other,Other,Europe,1,True,Integration Problem,Support ticket for integration problem
T006,fr,es;fr;pt,4.2,70.7,Employee Inquiries-IT Support,Software,Europe,2,True,System Error,Support ticket for system error
T007,es,es;de,4.4,99.6,Employee Inquiries-IT Support,Software,Europe,2,True,Software Install,Support ticket for software install
T008,en,fr;de,2.9,102.4,Other,Other,Europe,1,False,Update Request,Support ticket for update request
T009,en,es;fr;it,2.9,114.6,Employee Inquiries-IT Support,Software,Europe,2,False,Performance Issue,Support ticket for performance issue
T010,en,pt;de,2.6,96.6,Employee Inquiries-IT Support,Software,Europe,2,False,Security Concern,Support ticket for security concern
T011,es,de;pt;it,3.3,129.0,Employee Inquiries-IT Support,Software,Europe,2,False,Billing Question,Support ticket for billing question
T012,de,en;fr;de,4.2,60.1,Other,Other,Europe,2,True,System Error,Support ticket for system error
T013,es,it;fr,3.8,112.8,Employee Inquiries-IT Support,Software,Europe,1,False,Password Reset,Support ticket for password reset
T014,es,en;it;fr,3.8,124.1,Employee Inquiries-IT Support,Software,Europe,2,False,VPN Access,Support ticket for vpn access
T015,en,en;pt;es,4.1,79.0,Employee Inquiries-IT Support,Software,Europe,2,True,Security Concern,Support ticket for security concern
T016,pt,it;fr,3.1,118.5,Other,Other,Europe,1,False,Hardware Problem,Support ticket for hardware problem
T017,en,en;pt;es,4.6,60.3,Employee Inquiries-IT Support,Software,Europe,1,True,Software Install,Support ticket for software install
T018,de,pt;es,2.9,112.0,Other,Other,Europe,2,False,Update Request,Support ticket for update request
T019,en,de;es;en,4.1,77.2,Employee Inquiries-IT Support,Software,Europe,2,True,Email Setup,Support ticket for email setup
T020,en,en;es;pt,4.2,77.9,Employee Inquiries-IT Support,Software,Europe,1,True,VPN Access,Support ticket for vpn access
T021,es,en;pt,3.8,128.9,Other,Other,Europe,1,False,Update Request,Support ticket for update request
T022,es,en;es;de,4.0,75.6,Other,Other,Europe,1,True,Update Request,Support ticket for update request
T023,en,es;en;pt,4.7,62.3,Employee Inquiries-IT Support,Software,Europe,2,True,System Error,Support ticket for system error
T024,en,es;en,4.6,87.0,Employee Inquiries-IT Support,Software,Europe,2,True,Hardware Problem,Support ticket for hardware problem
